GEONAME,POINT_X,POINT_Y
Aniak,-291972.410000,1300977.630000
Barrow,-102351.830000,2368068.500000
Bethel,-419848.910000,1225451.880000
Cantwell,251614.950000,1501124.880000
Chickaloon,290730.660000,1325379.000000
Chisana,619854.940000,1399345.630000
Chistochina,477065.910000,1432747.380000
Dillingham,-254808.610000,1013480.000000
Dutch Harbor,-820068.190000,509357.030000
Eklutna,246234.060000,1283981.750000
Emmonak,-533523.940000,1465307.750000
Fort Yukon,387673.840000,1870779.750000
Galena,-139377.700000,1644408.000000
Haines,1041699.560000,1173328.130000
Juneau,1127959.000000,1089963.500000
Ketchikan,1391129.870000,828585.130000
King Cove,-529578.500000,594157.440000
King Salmon,-153785.660000,968729.630000
Kodiak,94467.400000,866404.750000
Kotzebue,-377163.090000,1906778.500000
McGrath,-80762.050000,1443882.000000
Nenana,234879.660000,1631115.250000
Nome,-544992.940000,1662351.000000
Point Hope,-529242.440000,2094104.500000
Point Lay,-354059.370000,2222414.500000
Prince of Wales Island,1282770.870000,858199.000000
Saint Marys,-476331.530000,1374845.250000
Sand Point,-411439.120000,612088.500000
Sitka,1115642.000000,940848.310000
Skagway,1041957.250000,1199291.500000
Stevens Village,223112.910000,1791430.630000
Tok,547912.250000,1530948.630000
Unalaska,-821052.870000,506558.590000
White Mountain,-447263.250000,1667266.630000
Iliamna,-50738.810000,1085217.130000
Mentasta Lake,514880.190000,1479660.380000
Nabesna,564540.190000,1424402.500000
Pribilof Islands,-964569.000000,940296.750000
Slavna Point,-522083.310000,593440.500000
